Feature,Importance
device,0.01949865337163399
hive number,0.05912975103733092
hive temp,0.04282267032054681
hive humidity,0.028235888078741733
hive pressure,0.07022426818164952
weather temp,0.02068332567699982
weather humidity,0.016658435495407315
weather pressure,0.03629662001416059
wind speed,0.007216322345448085
gust speed,0.0033636642515127197
weatherID,0.010735359714574013
cloud coverage,0.01231901548683588
queen presence,0.15652957552551325
queen acceptance,0.2957091666177452
frames,0.010788660690728693
target,0.20449524334465227
time,0.00529337984651924
